,name,platform,summary,user_review
1807,The Walking Dead: Episode 1 - A New Day,PlayStation 3,"Episode one of a five-part game series set in the same universe as Robert Kirkman’s award-winning series. Play as Lee Everett, the convicted criminal who has been given a second chance at life in a world devastated by the undead. Experience events, meet people and visit locations that foreshadow the story of Deputy Sheriff Rick Grimes. A honed game experience in which actions, choices and decisions you make will affect how your story plays out across the entire series.",8.2
3921,Darkwood,PlayStation 4,"Darkwood is a game about survival, exploration and fear, set in mysterious woods somewhere in the territory of the Soviet Bloc. It is a top-down, free-roam, surreal horror experience with a randomized world, taking cues from classic games, where oftentimes you had to figure things out for yourself. By blending RPG, roguelike and adventure elements together with a challenging difficulty, Darkwood aims to please players craving for a deep and rewarding experience. The fear of unknown is powerful and the unknown will try to remain unseen, forcing you to watch your back. Your senses will be deceived, your sight fooled, your smell tricked by Darkwood's surreal terrors. No answer will be given to you for free, yet somewhere in the woods lies the truth, an explanation to what has happened in this godforsaken place. Looking for your weakness, your inner demons, only to devour you. Welcome to Darkwood.",7.8
8741,Bendy And The Ink Machine,PlayStation 4,"Bendy and the Ink Machine is a first-person puzzle action horror game that begins in the far days past of animation and ends in a very dark future. With twists and turns around every corner, this game promises to thrill you… and decimate your childhood.",7.4
3978,Empire Earth Ii,PC,"Prepare to serve up worldwide conquest on an epic scale once again with Empire Earth 2. Become the greatest conqueror of all time by creating, building and forging the grandest of all empires as you progress through 15 epochs that span more than 10,000 years of history. Introducing new units, powers and leaders through 3 expansive campaigns, Empire Earth 2 will once again set the standard for real-time strategy games with the latest technology and features that expand both the single-player and multiplayer experience. Relive more than 10,000 years of history as you lead one of 14 different civilizations spanning 3 distinct campaigns that feature all-new units, powers and leaders under your control. Challenge an all-new reactive and dynamic artificial intelligence system that will adapt to your every move and test the limits of your strategic warfare knowledge. Adapt to ever-changing weather conditions and constantly revolving seasons that will impact your civilization's growth and necessitate new tactical initiatives. Engage your opponents over a LAN or the Internet within nine types of games featuring improved tournament support, multiplayer co-operative scenarios and all-new features including a new reward system for demonstrating superior military, economic, and empire-expanding strategies and a tactical planning map to coordinate efforts with your team. [Vivendi Universal]",7.2
8331,Mousecraft,PlayStation 4,"Crunching Koalas, the team behind the title, promises that its debut outing combines the best elements of Tetris and Lemmings to create a puzzle experience that really tests your wits. Moreover, the game features a level editor, and is both cross-buy and cross-save compatible.",5.6
9293,America'S Army: Rise Of A Soldier,Xbox,"America's Army: Rise of a Soldier is the Xbox version of the tactical first-person shooter developed in conjunction with the US Army. You can create a soldier and advance him or her through an army career from recruit to leader of a Special Forces team. America's Army: Rise of a Soldier also includes online multiplayer, so you can battle up to 16 players over the Internet.",7.4
7717,0Rbitalis,PC,"0RBITALIS (don't call it ""Orbitalis""!) is a satellite launching simulator with a retro-puzzle style. Launch your satellite into orbit and go head to head with the dominant force that formed the entire universe: Gravity.",7.3
12684,Crazy Taxi,PlayStation 3,The Dreamcast classic finally makes its way to the PlayStation Network.,7.4
14956,Family Guy: Back To The Multiverse,Wii,"Family Guy: Back to the Multiverse introduces an all-new original story written and voiced by Family Guy talent and influenced by the famous Family Guy season eight episode, Road to the Multiverse, where Stewie and Brian travel on an out-of-this-world journey through Quahog’s bizarre parallel universes. Gamers travel through all-new settings on a mission to save Quahog and stop the destructive schemes of Bertram, Stewie’s nemesis. Playing as either Stewie or Brian, each equipped with unique special weapons and abilities, gamers encounter an array of Family Guy characters, references and jokes. Additionally, fans can share this hilarious experience and invite friends and family to jump into the wild Family Guy world through drop-in/drop-out co-op multiplayer mode and competitive multiplayer challenges. [Activision]",4.9
4125,Cuboid,PlayStation 3,"[Playstation Network] A 3D puzzle game in which players navigate ancient ruins and lush environments, maneuvering a rectangular block through mystical exits. Cuboid’s 66 twisted levels will bend your mind with their addictive puzzles, and engage the senses with amazing graphics and soothing music, immersing you in a surrealistic puzzle world. [SCEA]",7.6
47,Metal Gear Solid V: The Phantom Pain,Xbox One,"Following the prologue METAL GEAR SOLID V: GROUND ZEROES, METAL GEAR SOLID V: THE PHANTOM PAIN concludes the METAL GEAR SOLID V experience by following the story of the protagonist of the series, Big Boss (a.k.a. Snake). The METAL GEAR SOLID V experience is Creator and Director Hideo Kojima's first time incorporating open world gameplay to the groundbreaking METAL GEAR franchise.",7.5
12720,Best Friend Forever,Switch,"Best Friend Forever is the world’s first simulation game to combine pet care and dating (just not necessarily at the same time). Train, pat and play with your very own dog to form a bond that will last the ages. With your four-legged companion by your side, meet, woo and cherish the many cuties of Rainbow Bay’s thriving singles scene.",4.0
1662,Blazblue: Central Fiction,PlayStation 4,"BlazBlue: Central Fiction is the newest installment in the BlazBlue franchise of next gen 2D fighters. Prepare yourself for a new story, new characters, levels, modes, system mechanics and more. Choose from over 33 fighters as you battle for 2D supremacy.",7.7
5282,The Incredible Adventures Of Van Helsing Ii,PC,"The incredible adventures continue, and Van Helsing, the famous monster-hunter returns to save the day again with the help of his charming, ghostly companion, Lady Katarina. The gothic metropolis of weird science is on the brink of destruction as chaos rules the streets and a new enemy plots revenge. Itâ€™s time to enter the dark side of Borgova and the forbidden wilderness, but beware: you are not the only one behind a mask.",7.7
14073,Lara Croft Tomb Raider: The Angel Of Darkness,PC,"A series of grisly murders brings Lara into conflict with a sinister Alchemist from the past, and a secret alliance of powerful individuals shrouded in mystery. At the center of these mysteries are the Obscura Paintings - five 14th century pieces of art that the Alchemist is desperate to repossess. Accused of the murder of her one time mentor, Werner Von Croy, Lara becomes a fugitive on the run. Pursued by the police, she follows the Alchemist into a dark world of blood, betrayal and vengeance where it is up to her to defeat this unholy alliance, and stop them from unleashing their incredible powers on the world. [Eidos Interactive]",6.5
6423,Cloudberry Kingdom,PlayStation 3,"Cloudberry Kingdom, the land where good heroes go to die, and Bob is the best of them all. Bob sits on the precipice of retirement, recliner ready, but first he must get back what he lost years ago. Jump and dodge your way through billions of levels on a last ditch mission to conquer infinity. The quest was never over. The princess was never saved. A challenge is waiting, are you ready?",6.2
13305,Micro Machines World Series,Xbox One,"Whether driving the Spy Car destroying a Hovercraft with a NERF Blaster in the Games Room, or the Dump Truck blowing up a Tank with a Dynamite Launcher in the garden, Micro Machines World Series will have players of all ages smiling from ear-to-ear while delivering absolute carnage.",5.0
9707,Poker Night 2,Xbox 360,"Poker Night 2 is the sequel to Poker Night where you play poker with a bunch of ""weirdos"" officially licensed, triple 'A' characters such as Claptrap, Brock Samson, Ash Williams, and Sam.",5.8
10024,Nba Playgrounds,PlayStation 4,"Classic NBA arcade action returns. Take your “A” game to the playground and beat the best in high-flying two-on-two basketball action. Practice your skills offline, play with up to three others on your PS4, or take your talents online to posterize your opponents with acrobatic jams and ridiculous displays of skill. [Playstation.com]",6.5
2270,Street Fighter: 30Th Anniversary Collection,PlayStation 4,"Celebrate the 30th Anniversary of the iconic Street Fighter franchise with the ultimate tribute to its arcade legacy in the Street Fighter 30th Anniversary Collection. This content-rich all-in-one package highlights the series' past in an anthology of 12 classic titles with arcade-perfect balancing including the original Street Fighter, Street Fighter II, Street Fighter II: Champion Edition, Street Fighter II: Hyper Fighting, Super Street Fighter II, Super Street Fighter II: Turbo, Street Fighter Alpha, Street Fighter Alpha 2, Street Fighter Alpha 3, Street Fighter III, Street Fighter III: 2nd Impact and Street Fighter III: Third Strike. The collection also offers a definitive online experience across four of the included titles; Street Fighter II: Hyper Fighting, Super Street Fighter II: Turbo, Street Fighter Alpha 3 and Street Fighter III: Third Strike. Street Fighter players can recreate the classic arcade gaming experience by competing against the CPU whilst waiting for friends in online battles where they can put their fighting skills to the ultimate test. Fans of the series can also enjoy diving into the past 30 years of Street Fighter history with rich character bios, a huge Museum Mode including never before seen art and interactive timeline, and listen to tracks in the Music Player. GAMEPLAY FEATURES: * Celebrate 30 years of the most iconic fighting game series The hit series with over 39 million units in global sales returns for its 30th anniversary celebration with a compilation of 12 classic arcade titles in one package. * Relive the titles that made gaming history Includes the original Street Fighter released in 1987 which introduced two of gaming's most famous heroes, Ryu and Ken. Additionally, the iconic Street Fighter II became the first ever one-on-one video game that gave players a choice of characters, including the debut of the series' strongest female Chun-Li. Street Fighter III continued the core numbered series and was the first game to introduce the parry attack. * New gameplay options including online play Players can utilize save states as they progress through the game offline. In addition, players can duke it out online in four classic titles (Street Fighter II: Hyper Fighting, Super Street Fighter II: Turbo, Street Fighter Alpha 3 and Street Fighter III: Third Strike). In addition to Ranked and Casual Match options, up to four players can join a lobby where they can play against the CPU while waiting for their match. Each title will have their own Global leaderboard and the ""rewind"" tech ensures low-latency online battles. * Hadoken your way down memory lane Revisit historic moments from the series and explore an interactive timeline of events that helped create one of the world's leading fighting game series. View stunning pieces of concept art and uncover little known facts behind each game release. * Learn more about fan-favorite characters Scroll through character bios and learn new details about series favorites whilst enjoying sprites and key animations to see how the classic fighters have evolved over time. * Remember the tunes! Sit back and enjoy the most memorable Street Fighter tracks from the collection in the Music Player.",7.3
3059,Echochrome,PlayStation 3,"(Downloadable Game) Featuring an elegant black and white art design inspired by the works of M.C. Escher, echochrome is a puzzle game unlike any other. With gameplay based on optical illusions, players must utilize five simple laws of perspective to join walkways, hide dangers, and create new paths to reach the ""echos,"" or shadow guides. Once you've mastered the five laws, use them to create your own mind-bending levels to play and share with friends using the custom level editor. Master perspective puzzles based on optical illusions across 56 challenging levels that are exclusive to the PS3 version. [Sony]",7.2
12878,Naruto Shippuden: Ultimate Ninja Impact,PSP,"NARUTO SHIPPUDEN: Ultimate Ninja Impact lets players unleash their honed Jutsu skills through exciting single-player and multiplayer modes. Story Battle lets fans become part of explosive NARUTO SHIPPUDEN fights straight from the anime with more events and battle sequences than ever before on the PSP. Tag Battle lets two friends connect through Ad-hoc to team up and complete over 20 missions cooperatively, while Versus Battle lets players battle against each other with their persistent customized characters across all modes. Over 20 characters are available to choose from across the NARUTO SHIPPUDEN universe with customization options that carry through each mode within the game.",7.3
12871,Dynasty Warriors 6 Empires,Xbox 360,"Designed for the legions of Dynasty Warriors fans, DYNASTY WARRIORS 6: Empires is game that brings together the best aspects of the action and strategy genres. In this latest edition, players can experience Ancient China’s greatest and most glorious war as an all-powerful lord or as an officer. As a lord, gamers must think strategically. By deciding when to attack, when to resist invasion, or when to initiate policies, a lord can expand their power and influence. An easy-to-learn card collecting system lets players enact policies that will increase their empire’s strength, improve the abilities of their forces, and more. The cards that a player receives will depend on the attributes of the officers and their army. Players can also pledge their allegiance to a kingdom to become an officer. As an officer, players can suggest policies in the kingdom’s war council, complete missions for rewards, or even turn against their ruler should relations sour. Most eagerly awaited by fans is a game mode that allows players to create their own warrior. DYNASTY WARRIORS 6: Empires features an extensive character editing system with options to customize a warrior’s gender, build, skin tone, facial features, voice, clothing, weapon and more. Whomever players choose to be, they can now use mountain ledges and waterways to infiltrate enemy bases and launch surprise attacks on supply depots to change the flow of battle. [Koei]",7.2
13538,Short Peace: Ranko Tsukigime'S Longest Day,Wii,short Peace is an anime compilation: – a unique mix of Japanese entertainment that gathers four short films and a video game in one disruptive package.,5.9
8412,Jak And Daxter: The Lost Frontier,PSP,"Hero Jak and his mischievous sidekick Daxter are back together and for the first time-ever they've joined forces on PSP. Get set for the latest addition to the smash-hit Jak and Daxter series, Jak and Daxter: The Lost Frontier from Sony Computer Entertainment Europe. Prepare for non-stop action and adventure as the duo travel across mysterious lands and take to the sky on a mission to save their planet from destruction. Take this incredible adventure with you anywhere on your PSP, or play it at home with PlayStation 2. Picking up from where the original Jak and Daxter trilogy left off, Jak and furry friend Daxter team up with their friend Kiera on her quest to become a Sage and save their world from the threat of darkness. As the environment of their planet slowly dies, our two worldly heroes embark on a mission to protect their world from the threat of ""dark eco"". Beginning on foot, you'll run and jump across undiscovered lands, before taking flight in one of five different aircrafts. With cheeky Daxter and our serious Hero Jak together on the adventure, fun and laughter is never far away. Blast airborne enemies and battle sky pirates with your powerful Gunstaff - a brand-new weapon that can transform into other new weapons. [Sony]",6.8
4829,Penumbra: Black Plague,PC,"Penumbra: Black Plague is a creepy and dark psychological horror experience featuring the adventures of Philip as he sets of in search of his dead father. Trapped in a shadowy, underground complex, intrepid explorer Philip is determined to discover the truth behind his father's disappearance. Surrounded by enemies and assaulted by terror from all sides, Philip must collect clues and solve vexing puzzles while combating the gnawing psychological terrors that assail his mind and threaten to strip him of his sanity. Can Philip master his fear and finally uncover the truth behind a mystery that has haunted him for a lifetime? Only you can decide. [Paradox Interactive]",8.6
6029,Gigantic,PC,"Gigantic is a fast and fluid Strategic Hero Shooter, where you battle against and alongside massive Guardians, in deeply strategic team gameplay. Think fast, be bold, Go Gigantic!",8.3
8890,Fairy Fencer F: Advent Dark Force,PlayStation 4,"Fairy Fencer F is reborn as Fairy Fencer F: Advent Dark Force for the PlayStation®4 system! Continue your adventure through three new story paths: The Goddess story, the Vile Goddess story, and the Evil Goddess story.",6.9
4526,Call Of Juarez: Bound In Blood,PlayStation 3,"Call of Juarez: Bound in Blood transports players from a ravaged Civil War-era Georgia to the Aztec ruins of Mexico. In the wildest West ever depicted, players can embody both McCall brothers in an intense storyline full of greed, lust and lawlessness that takes place during a legendary period of American history. Become a Gunslinger - Harness a variety of weapons from various revolvers to heavy-caliber cannons and machine guns. Every accurate shot increases concentration, which allows players to unleash deadly shooting modes when outnumbered and even deadlier ones when the brothers work together. Dual Collaborative Gameplay - Players choose to embody Ray or Thomas, each with a distinctive gameplay style (close or long range), specific abilities (lasso, dynamite, etc.) and arsenal of deadly weapons (dual guns, long-range carbine, etc.). Take advantage of each of their strengths and join in the fiercest fights imaginable. Never Before Seen Western Experience - Experience the iconic settings full of outlaws - the West before it was tamed. The McCall brothers face a renegade Apache Chief, a greedy Mexican bandit, a vindictive Colonel, and others, all driven by greed with moral disregard. Enjoy a wide variety of situations, using horses, canoes and wagons to explore the vast natural landscapes of the fabled Wild West and its legendary period. Innovative Online Multiplayer - Developed in unison with the single player mode, multiplayer offers numerous modes and maps, resulting in endless hours of Wild West mayhem. Gunslingers, bandits and marshals struggle online for the bounty. Multiple characters are unlocked for team-based objective modes or the straightforward team death match. With a new Bounty system, players increase the bounty on their head with more kills. Get rid of the deadliest among you to increase your bank roll. [Ubisoft]",7.6
5121,Delta Force: Black Hawk Down,PC,"Experience missions similar to those encountered by U.S. Special Operations Forces during 10 months in Somalia. Fight through various compelling missions, each with multiple objectives. Engage in urban Close Quarter Battles and long-range sniper fire. Fire heavy weapons mounted in Black Hawk helicopters and on Humvees. New AI system powers combat-ready enemies as well as valuable friendly teams. [NovaLogic]",7.7
5553,F.E.A.R. 2: Project Origin,Xbox 360,"The sequel to F.E.A.R. continues the original game's spine-tingling supernatural suspense story of an escalating paranormal crisis that threatens to destroy a major American city. At the center of the calamity is the mysterious Alma, whose rage against those who wronged her triggered a chain of events that have spiraled completely out of control. Now that she has free reign, the consequences will be unimaginable. [Warner Bros.]",8.0
6504,Fract Osc,PC,FRACT is a musical exploration game. You arrive in a forgotten place and explore the vast and unfamiliar landscape to discover the secrets of a world built on sound. You rebuild its machinery by solving puzzles and bring the world back to life by shaping sound and creating music in the game.,6.1
3035,Toy Soldiers: Cold War,Xbox 360,"The Cold War ignites when '80s era action toys come alive and wage war! Toy Soldiers: Cold War delivers hours of intense combat combined with addictive action strategy gameplay. Superpowers collide in this playful homage to '80s action toys and films. Command the powerful Cold War arsenals of the USA or USSR armies! Control base turrets, modern combat vehicles, fighter jets, attack helicopters, and commando action figures. Whether lighting up the Toy Box alone or jumping into the fray with your friends, battle in campaign, co-op, or competitive modes. Fight for the high score in the addictive mini-games, and while you're at it, don't forget to BLOW EVERYTHING UP!",8.5
6234,Rick And Morty: Virtual Rick-Ality,PC,"Rick and Morty have teleported into your living room for a cutting-edge VR adventure from Adult Swim Games and Owlchemy Labs (Job Simulator). Play as a Morty clone as you explore Rick's garage, the Smith household, and alien worlds. Experience life as a clone of Morty and all the trauma that comes with it. Step through portals to strange worlds, help Rick with his bizarre experiments, and use your hands in VR to pick up and play in an interaction-filled 3D Rick-ality. Follow Rick's directions (or don't!) to solve puzzles and complete missions in this fully voice acted adventure.",6.3
7781,Disney'S Donald Duck: Goin' Quackers,PlayStation 2,"Donald runs amuck, gets hyper and goes berserk across 22 levels in this hilarious quest to rescue Daisy.",7.4
9694,Ancients Of Ooga,Xbox 360,"[Xbox Live Arcade] From the creators of Cloning Clyde comes a new epic adventure Ancients of Ooga! Eat, chant, and even puke your way through the highly comical, primeval land of Ooga. You meet, befriend, and finally acquire seven zany Oogani tribes. Uncover their lost ancient powers, and exploit their abilities and lead them in a revolt against the tyrannical Boolis. This is classic platforming and puzzle solving with a novel eat/carry/puke inventory management component. Over fifty amazing levels, excellent multiplayer, plus, narcotic slugs that make you loopy. [Xbox.com]",5.8
2288,Disc Room,PC,"The year is 2089, and a giant disc has appeared in orbit of Jupiter. A crew of international scientists is formed in a desperate attempt to understand the mysterious secrets contained within. Step into the oversized space suit of a brave but reluctant scientist and explore this sprawling slaughterhouse from outer space. Attempt to discover the method behind its madness as you are relentlessly chased down by intelligent alien saw blades amid a seemingly endless labyrinth of interconnected death chambers. Stay sharp in order to navigate this murderous maze, as the seemingly straightforward slaughter unfurls into far more puzzling complexity. But, what kills you only makes you stronger. Absorb extraordinary abilities from the very discs that dice you into pieces. Invincibly dash, bend time, even clone yourself as you become one with the disc. Persistent punishment quickly solidifies into razor-sharp survival skills, as our scientist dies their way toward the deeper more devastating purpose of the disc. In Disc Room, the only way out is through Death.",7.5
8879,Halcyon 6: Starbase Commander,PC,"Halcyon 6: Starbase Commander is a retro space strategy RPG with base building, deep tactical combat, crew management and emergent storytelling.",7.7
13767,Atlantis Evolution,PC,"1904. On his way back to New York, Curtis Quick, a young adventurer and photographer, is caught in a vortex that sends him to the heart of the lost city of Atlantis...A stranger in a land of hi-tech and archaic faith, Curtis endures thrilling adventure helping the people of Atlantis overthrow the mighty 'Atlantian' Gods. Features spectacular award winning full-screen 3D graphics, 5 fascinating destinations to explore, each with its own culture and mysteries, many diverse challenging puzzles and games, and a beautiful and captivating original soundtrack. [DreamCatcher Interactive]",3.0
9626,Warhammer: Chaosbane,PC,"In a world ravaged by war and dominated by magic, you must rise up to face the Chaos hordes. Playing solo or with up to four players in local or online co-op, choose a hero from four character classes and prepare for epic battles wielding some of the most powerful artefacts of the Old World.",5.0
3204,Anno 1800,PC,Anno 1800 – Lead the Industrial Revolution! Welcome to the dawn of the Industrial Age. The path you choose will define your world. Are you an innovator or an exploiter? A conqueror or a liberator? How the world remembers your name is up to you.,7.9
2012,Overcooked! 2,Xbox One,"Overcooked returns with a brand-new helping of chaotic cooking action! Journey back to the Onion Kingdom and assemble your team of chefs in classic couch co-op or online play for up to four players. Hold onto your aprons... it's time to save the world (again!) FEATURES: * Online/Local Multiplayer Madness - You'll knead to work together to get the highest score in chaotic local and online multiplayer. * Feast Your Eyes On This - Cook in new kitchens ranging from sushi restaurants, magic schools and mines! * Romaine Calm! - Travel through teleporters, across moving platforms and save time by throwing ingredients across dynamic kitchens that shift and evolve. * Whet Your Appetite! - Cook up a range of new recipes including sushi, cakes, burgers and pizzas.",6.7
7238,The Elder Scrolls Online: Tamriel Unlimited,PlayStation 4,"The Elder Scrolls Online: Tamriel Unlimited includes all the gameplay from the original PC/Mac game, plus all the updates and content additions, including the new Justice and Champion systems. All existing PC/Mac game accounts, open or closed, will be updated to the Tamriel Unlimited edition in March and former players will be invited back to the game at that time to experience all that is new in the world. New players will make a one-time purchase of the game and play, without restrictions, for as long as they like – without game subscription fees. Tamriel Unlimited will be supported with special, optional downloadable content available for purchase and an in-game Crown Store for convenience and customization items. Regular updates and new gameplay will be offered to all players to enjoy free of additional charges. [Bethesda]",7.6
6699,Ironcast,PC,Puzzlequest meets FTL in this Steampunk Victorian era roguelite.,7.3
12585,Trapt,PlayStation 2,"(Also known as ""Kagero 2: Dark Illusion"") Set in old Europe, the player takes on the role of the seductive Queen Allura, who after being framed for her father's murder, is forced to flee the castle to take refuge from those that are out to kill her. Allura, along with her maid Rachel, escape to the Black Forest, where an evil spell from the devil transforms Allura into a trap master, an evil temptress that uses deadly traps to avenge her enemies. Returning to the castle with the devil as her guide and on a mission of vengence, Allura uses her wicked strategy and skill to set up gruesome medieval traps to lure her enemies in and then destroy them. The game is equal parts action and strategy that will have gamers thinking in the most evil and manipulative ways to create the ultimate combination of traps in order to distinguish their enemies. Play as the sexy and beguiling Queen Alllura who looks so sweet, but is wickedly calculating and cursed by the devil.Full-View Map: Set up your traps via a full-view map of the castle. A Variety of Modes and Bonus Content: Play in Story Mode or Survival Mode, plus enjoy an even deeper story when you play in the Bonus Story Mode. [Tecmo]",8.0
11491,Need For Speed: The Run,PlayStation 3,"Need for Speed The Run lures players into an underground world of illicit, high-stakes racing. The heat is on – and it isn’t just the fuzz who are after you. Entering the race is just the beginning as you blow across borders, weave through dense urban traffic, rocket down icy mountain passes and navigate narrow canyons at breakneck speeds. Powered by DICE’s state-of-the-art Frostbite 2 engine, Need for Speed The Run takes the action racing genre to new heights with stunning visuals and car physics that hug the road even at top speeds all built around a gripping storyline. The cars are hot, the racing is intense and the story will have you at the edge of your seat… all the way from the Golden Gate Bridge to the Empire State building.",6.4
9247,Glyph,Switch,"This 3D Open-World Platformer lets you chill-out or speedrun stunning scenery on your quest to restore the ancient temple city by solving puzzles and beating enemies. Be aware: Glyph is easy to learn, but hard to master! * 80+ levels * Many hours of game time * 100s of rewards * Perfect your skills and earn cosmetics * Explore expansive non-linear levels * Avoid traps and defeat enemies",7.8
6433,Scourgebringer,Xbox One,"ScourgeBringer is a fast-paced free-moving roguelite platformer. Help Kyhra to explore the unknown and slash her way through ancient machines guarding the seal of her past, and maybe the redemption of humanity.",6.8
8749,Crime Cities,PC,"Get ready to enter a futuristic world where law and order have been replaced by terror and crime. The Human Federation decides to frame one of its best men, Garm Tiger, for treason. Now you must join Garm as he begins an intense mission within the Pandemia System. In the game's varied environments, you'll risk your life in different scenarios, such as flying a hovercraft through city skyscrapers. You can drive 50 different cars, modify your vehicles, and use more than 20 different weapons.",7.9
11466,Urban Trial Freestyle,PlayStation 3,"Urban Trial Freestyle challenges players to push their risk-taking to the absolute limits to deliver maximum stunt rewards. The game's nonstop action is complemented by a host of features including trophies, multiple game modes, leader boards, rider and bike customisation, and much more. With slick urban detailed graphics and an innovative physics engine fine-tuned for fun pick-up and play, the game has been specifically engineered to get the most out of each platform.",6.4
14442,Otomedius Excellent,PC,"As the sequel to the 2008 Japanese hit Otomedius Gorgeous, Otomedius Excellent boasts a significant visual and gameplay update since its predecessor,"" said Shinji Hirano, President of Konami Digital Entertainment, Inc. ""Accompanied by brilliant graphics and an excellent soundtrack, Otomedius Excellent will engage fans with the Gradius franchise on a whole new level.",7.9
14537,Sonic Free Riders,Xbox 360,"For the first time ever in a SEGA game, full-motion body control will allow you to twist and turn your way through a range of visually stunning courses in an action-packed Sonic experience unlike any other! Kinect's unique motion sensor means Sonic Free Riders will see family and friends controlling their fully customizable hover board or bike by twisting, turning and jumping in an exhilarating race to be the first to cross the finish line! Choosing from one of your favorite Sonic characters, or your own Avatar, you can reach out and grab a variety of pickups along the course. By throwing, shaking, or swinging your arms to launch your items, you can gain the competitive edge over your rivals in high octane single or multiplayer races.",2.5
9635,Blue Dragon Plus,DS,"This DS sequel is set one year after the original Xbox 360 title and returns players to the story of Shu and his companions, who control powerful phantom shadows. They have to deal with new enemies spawned from the devastation wrought in the first title. At first glance, you might mistakenly believe Blue Dragon Plus to be a strategy game in the style of Final Fantasy Tactics, with little hand-drawn heroes and monsters arranged on an isometric 3D stage. But once the fight begins, everything starts happening in real time and you must feverishly put together your plan of attack, because those enemies aren't waiting for your turn. You command your units around the field with quick but simple controls that rely totally on the touch screen. You tell your units where to go, who to fight, when to heal, and when to move to special areas on the map. It seems like your attention is constantly needed everywhere at once, but the game gives you some room for error by providing a high number of healing items. Also, as you progress through each map, the game occasionally pauses to let some part of the story play out. The game features a thirty-hour quest as well as the ability to control up to sixteen humans and Mecha Robos in real-time battles and shadow fights.",6.5
13369,Final Exam,Xbox 360,"Playable alone and in cooperative mode (local & online), Obscure lets you play as one of four unlikely heroes; students, each with unique skills and abilities that develop throughout the adventure. Geared toward action and all-out brawling, Obscure's combat emphasizes combos, follow-up attacks, and score-multipliers! Survive against packs of monsters trying to skin you alive, discover new weapons, and complete objectives throughout a variety of huge, non-linear levels. Overshooting the scores will earn you experience points to level your character up, unlocking new weapons, skills, and other devastating abilities! At any time, you can even get back to some of earlier levels to try your new toys and beat your scores!",7.2
3562,Final Fantasy Viii Remastered,Switch,"In a world where an ancient energy known as the Sorceress Power is passed down through generations, the peace of the realm is threatened when the evil Sorceress Edea takes power as ruler of the Galbadia Republic. Squall, a member of Balamb Garden Military Academy's elite mercenary force SeeD, other allies from the Garden, and Rinoa, a member of the resistance, join together on a journey to fight against Sorceress Edea, who shows hostility toward the Garden. [Square Enix]",7.0
9679,Blacksad: Under The Skin,Xbox One,"A dark corruption scandal in the heart of the New York City's underworld for charismatic detective John Blacksad! The 50s, New York City: Joe Dunn, owner of a boxing club, is found dead. Meanwhile, rising star Bobby Yale, due to take to the ring for the most important fight of his career, has mysteriously disappeared. Sonia Dunn, Joe's daughter, takes over the gym and must deal with its financial woes. She hires private detective John Blacksad to investigate Yale's disappearance. This sinister case will take our investigator to the darkest, most dismal depths of New York. With its anthropomorphic characters and its incredible 1950s feel, BLACKSAD: Under the Skin promises all the eerily dark adventure of a detective novel, just like the eponymous comic book series. Conduct the investigation in your own way. Make use of your feline senses as you hunt for new clues. Make decisions on behalf of Blacksad and influence the outcome of the case.",6.1
8798,Star Wars: Starfighter,PC,"Courage. Skill. Honor. These are the three primary qualities that you must bring to Star Wars Starfighter, a flight action/adventure combining intense air and space combat in rich 3D environments. Join three starfighter pilots in a series of harrowing missions to save Naboo and the galaxy from the oppressive abuses of the Trade Federation. May the Force be with you, young starfighter pilot. [LucasArts]",6.6
9638,Forgotten Realms: Demon Stone,PC,"In Forgotten Realms: Demon Stone, the player directs a party of three characters ? Fighter, Sorcerer and Rogue. The player controls one party member at a time -- switching between them on the fly -- while the other party members are controlled by the engine?s sophisticated artificial intelligence. For example, when the player controls the Fighter, the Sorcerer and Rogue will continue to engage in combat, cast spells and assist the player in defeating all challengers. In many situations, the characters will be able to divide and conquer difficult objectives ? while the Fighter holds back a horde of Yuan-Ti snakemen with brute force, the Sorcerer supports him with devastating ranged magic while the rogue sneaks above and behind them for a coup de grace. The player participates seamlessly in each critical moment as they are cinematically switched from one perspective to another. This real-time, on-the-fly character switching design allows Forgotten Realms: Demon Stone to challenge players with innovative and compelling encounters. In true D&D fashion, each of the characters excels at a certain type of gameplay. The Fighter thrives in melee combat, the Sorcerer is excellent at ranged and magical combat and the Rogue excels at jumping, sneaking and disarming traps. Players will be continually tasked with choosing the best character for each challenge as well as using each character?s gameplay specialty to maximum effect. [Atari]",5.9
5090,Mutant Storm Reloaded,Xbox 360,"[Xbox Live Arcade] Mutant Storm Reloaded features the official training grounds for those who wish to master Blastikkidoo - the Art of Blasting. Just as in martial arts, you begin with a white belt and earn higher belts as you progress. As you move to higher belts, the difficulty increases, which in turn hones your skill. Your goal is simple: Blast through 89 levels inhabited by an array of nasty beasties and live to brag about it. Survive, and you could earn the elusive black belt. Play single player, or two-player cooperative on the same console in either Adventure Mode or Tally Mode. Post your scores to the Xbox Live leaderboards. Experience all-new graphics and sound effects. [Xbox.com]",7.2
9189,Dandara,PC,"In a bizarre universe in which the oppressed are on the verge of oblivion, Dandara has awoken to reshape the world. The world of Salt hangs on the brink of collapse. The citizens, once free spirits, now stand oppressed and isolated. But not all is lost, for out of this aether of fear arises a heroine, a ray of hope. Her name is Dandara.",7.5
